DATA|ORA ACCESSO|HWID|ORA USCITA|FIL
11/06/2026|16:45:23|WMI-12345678-1234-5678-90AB-CDDEEFAABBCC|NON REGISTRATA|Generazione da RB v.6-TEST.xls
11/06/2026|16:49:58|WMI-12345678-1234-5678-90AB-CDDEEFAABBCC|NON REGISTRATA|Generazione da RB v.6-TEST.xls
11/06/2026|16:49:58|WMI-12345678-1234-5678-90AB-CDDEEFAABBCC|NON REGISTRATA|Generazione da RB v.6-TEST.xls
11/06/2026|16:49:58|WMI-12345678-1234-5678-90AB-CDDEEFAABBCC|NON REGISTRATA|Generazione da RB v.6-TEST.xls
11/06/2026|16:49:58|WMI-12345678-1234-5678-90AB-CDDEEFAABBCC|16:53:40|Generazione da RB v.6-TEST.xl
11/06/2026|16:54:10|WMI-12345678-1234-5678-90AB-CDDEEFAABBCC|NON REGISTRATA|Generazione da RB v.6-TEST.xls
11/06/2026|16:56:09|WMI-12345678-1234-5678-90AB-CDDEEFAABBCC|NON REGISTRATA|Generazione da RB v.6-TEST.xls
11/06/2026|16:57:50|WMI-12345678-1234-5678-90AB-CDDEEFAABBCC|NON REGISTRATA|Generazione da RB v.6-TEST.xls
11/06/2026|16:59:35|WMI-12345678-1234-5678-90AB-CDDEEFAABBCC|NON REGISTRATA|Generazione da RB v.5.3.5.xlsm
11/06/2026|17:02:29|WMI-12345678-1234-5678-90AB-CDDEEFAABBCC|NON REGISTRATA|Generazione da RB v.6-TEST.xls
11/06/2026|17:05:21|WMI-12345678-1234-5678-90AB-CDDEEFAABBCC|NON REGISTRATA|Generazione da RB v.6-TEST.xls
11/06/2026|17:05:21|WMI-12345678-1234-5678-90AB-CDDEEFAABBCC|17:09:39|Generazione da RB v.6-TEST.x
11/06/2026|17:10:15|WMI-12345678-1234-5678-90AB-CDDEEFAABBCC|NON REGISTRATA|Generazione da RB v.6-TEST.xls
11/06/2026|17:12:49|WMI-12345678-1234-5678-90AB-CDDEEFAABBCC|NON REGISTRATA|Generazione da RB v.6-TEST.xls
11/06/2026|17:15:47|WMI-12345678-1234-5678-90AB-CDDEEFAABBCC|NON REGISTRATA|Generazione da RB v.6-TEST.xls
11/06/2026|17:19:08|WMI-12345678-1234-5678-90AB-CDDEEFAABBCC|NON REGISTRATA|Generazione da RB v.6-TEST.xls
11/06/2026|17:23:25|WMI-12345678-1234-5678-90AB-CDDEEFAABBCC|NON REGISTRATA|Generazione da RB v.6-TEST.xls
11/06/2026|17:27:12|WMI-12345678-1234-5678-90AB-CDDEEFAABBCC|NON REGISTRATA|Generazione da RB v.6-TEST.xls
11/06/2026|17:31:47|WMI-12345678-1234-5678-90AB-CDDEEFAABBCC|NON REGISTRATA|Generazione da RB v.6-TEST.xls
